Student ID: 406 | Name: Lux | Surname: Crownguard | Age: 20 | Course Enrolled: Wizardry
Student ID: 258 | Name: Bratz | Surname: Jade | Age: 20 | Course Enrolled: Cosmetology
Student ID: 352 | Name: Margo | Surname: Gru | Age: 13 | Course Enrolled: Engineering
Student ID: 299 | Name: Wanda | Surname: Fairy | Age: 22 | Course Enrolled: WishGranting
Student ID: 347 | Name: Mabel | Surname: Pines | Age: 14 | Course Enrolled: SweaterDesign
Student ID: 405 | Name: Lux | Surname: Crownguard | Age: 20 | Course Enrolled: LightMagic
Student ID: 286 | Name: Merida | Surname: DunBroch | Age: 20 | Course Enrolled: History
Student ID: 334 | Name: Marceline | Surname: Vampire | Age: 1000 | Course Enrolled: DarkMagic
Student ID: 264 | Name: Pinkie | Surname: Pie | Age: 18 | Course Enrolled: BakingScience
Student ID: 362 | Name: Disgust | Surname: Green | Age: 11 | Course Enrolled: Sociology
Student ID: 334 | Name: Marceline | Surname: Vampire | Age: 1000 | Course Enrolled: MusicTheory
Student ID: 392 | Name: Mei | Surname: Ling | Age: 28 | Course Enrolled: ClimateScience
Student ID: 301 | Name: Cosmo | Surname: Fairy | Age: 23 | Course Enrolled: ChaosTheory
Student ID: 261 | Name: Twilight | Surname: Sparkle | Age: 19 | Course Enrolled: LibraryScience
Student ID: 357 | Name: Sadness | Surname: Blue | Age: 11 | Course Enrolled: EmotionStudies
Student ID: 308 | Name: Chun | Surname: Li | Age: 25 | Course Enrolled: SportsScience
Student ID: 336 | Name: Betty | Surname: Boop | Age: 23 | Course Enrolled: Entertainment
Student ID: 280 | Name: Megara | Surname: Herc | Age: 24 | Course Enrolled: GreekHistory
Student ID: 351 | Name: Margo | Surname: Gru | Age: 13 | Course Enrolled: Robotics
Student ID: 328 | Name: Ginny | Surname: Weasley | Age: 18 | Course Enrolled: SportsScience
Student ID: 285 | Name: Merida | Surname: DunBroch | Age: 20 | Course Enrolled: Archery
Student ID: 354 | Name: Agnes | Surname: Gru | Age: 6 | Course Enrolled: Zoology
Student ID: 281 | Name: Elastigirl | Surname: Parr | Age: 30 | Course Enrolled: Gymnastics
Student ID: 367 | Name: Princess | Surname: Carolyn | Age: 35 | Course Enrolled: FilmProduction
Student ID: 271 | Name: Smurfette | Surname: Blue | Age: 20 | Course Enrolled: Sociology
Student ID: 306 | Name: Aerith | Surname: Gainsborough | Age: 23 | Course Enrolled: Theology
Student ID: 291 | Name: Lois | Surname: Griffin | Age: 38 | Course Enrolled: ComedyWriting
Student ID: 349 | Name: Star | Surname: Butterfly | Age: 16 | Course Enrolled: MagicStudies
Student ID: 393 | Name: Ahri | Surname: Fox | Age: 23 | Course Enrolled: Psychology
Student ID: 317 | Name: Sailor | Surname: Mercury | Age: 16 | Course Enrolled: WaterScience
Student ID: 371 | Name: Princess | Surname: Daisy | Age: 21 | Course Enrolled: Herbology
Student ID: 340 | Name: Judy | Surname: Hopps | Age: 24 | Course Enrolled: Criminology
Student ID: 374 | Name: Rosalina | Surname: Galaxy | Age: 22 | Course Enrolled: Physics
Student ID: 263 | Name: Pinkie | Surname: Pie | Age: 18 | Course Enrolled: PartyPlanning
Student ID: 320 | Name: Sailor | Surname: Jupiter | Age: 16 | Course Enrolled: MartialArts
Student ID: 304 | Name: Tifa | Surname: Lockhart | Age: 22 | Course Enrolled: Medicine
Student ID: 278 | Name: Jane | Surname: Tarzan | Age: 22 | Course Enrolled: Zoology
Student ID: 335 | Name: Betty | Surname: Boop | Age: 23 | Course Enrolled: Comedy
Student ID: 298 | Name: April | Surname: O'Neil | Age: 24 | Course Enrolled: Journalism
Student ID: 344 | Name: Candace | Surname: Flynn | Age: 16 | Course Enrolled: Bustology
Student ID: 275 | Name: Alice | Surname: Wonderland | Age: 19 | Course Enrolled: Botany
Student ID: 274 | Name: Pocahontas | Surname: Rivers | Age: 21 | Course Enrolled: Anthropology
Student ID: 366 | Name: Nani | Surname: Pelekai | Age: 19 | Course Enrolled: Business
Student ID: 343 | Name: Candace | Surname: Flynn | Age: 16 | Course Enrolled: MusicStudies
Student ID: 260 | Name: Rainbow | Surname: Dash | Age: 18 | Course Enrolled: Meteorology
Student ID: 372 | Name: Peach | Surname: Toadstool | Age: 20 | Course Enrolled: MushroomStudies
Student ID: 289 | Name: Tinker | Surname: Bell | Age: 18 | Course Enrolled: Engineering
Student ID: 262 | Name: Twilight | Surname: Sparkle | Age: 19 | Course Enrolled: MagicStudies
Student ID: 265 | Name: Rarity | Surname: Gem | Age: 20 | Course Enrolled: JewelryDesign
Student ID: 315 | Name: Sailor | Surname: Mars | Age: 16 | Course Enrolled: Pyrotechnics
Student ID: 401 | Name: Jigglypuff | Surname: Puff | Age: 18 | Course Enrolled: MusicStudies
Student ID: 338 | Name: Daisy | Surname: Duck | Age: 19 | Course Enrolled: BeakCare
Student ID: 285 | Name: Merida | Surname: DunBroch | Age: 20 | Course Enrolled: Archery
Student ID: 317 | Name: Sailor | Surname: Mercury | Age: 16 | Course Enrolled: Chemistry
Student ID: 347 | Name: Mabel | Surname: Pines | Age: 14 | Course Enrolled: Mythology
Student ID: 396 | Name: Yuna | Surname: Summoner | Age: 19 | Course Enrolled: SummoningArts
Student ID: 370 | Name: Zelda | Surname: Hyrule | Age: 21 | Course Enrolled: Archaeology
Student ID: 357 | Name: Sadness | Surname: Blue | Age: 11 | Course Enrolled: Psychology
Student ID: 316 | Name: Sailor | Surname: Mars | Age: 16 | Course Enrolled: Astronomy
Student ID: 266 | Name: Rarity | Surname: Gem | Age: 20 | Course Enrolled: Business
Student ID: 339 | Name: Judy | Surname: Hopps | Age: 24 | Course Enrolled: Sociology
Student ID: 303 | Name: Tifa | Surname: Lockhart | Age: 22 | Course Enrolled: MartialArts
Student ID: 300 | Name: Wanda | Surname: Fairy | Age: 22 | Course Enrolled: MagicStudies
Student ID: 287 | Name: Cruella | Surname: DeVil | Age: 24 | Course Enrolled: Business
Student ID: 268 | Name: Kim | Surname: Possible | Age: 18 | Course Enrolled: ForensicScience
Student ID: 346 | Name: Wendy | Surname: Corduroy | Age: 17 | Course Enrolled: OutdoorScience
Student ID: 276 | Name: Alice | Surname: Wonderland | Age: 19 | Course Enrolled: PsychedelicStudies
Student ID: 368 | Name: Princess | Surname: Carolyn | Age: 35 | Course Enrolled: Communications
Student ID: 277 | Name: Jane | Surname: Tarzan | Age: 22 | Course Enrolled: Anthropology
Student ID: 380 | Name: Princess | Surname: Daisy | Age: 21 | Course Enrolled: Fashion
Student ID: 296 | Name: Velma | Surname: Dinkley | Age: 22 | Course Enrolled: LibraryScience
Student ID: 367 | Name: Princess | Surname: Carolyn | Age: 35 | Course Enrolled: Communications
Student ID: 338 | Name: Daisy | Surname: Duck | Age: 19 | Course Enrolled: ArtStudies
Student ID: 258 | Name: Bratz | Surname: Jade | Age: 20 | Course Enrolled: VisualArts
Student ID: 327 | Name: Ginny | Surname: Weasley | Age: 18 | Course Enrolled: HealingMagic
Student ID: 326 | Name: Hermione | Surname: Granger | Age: 20 | Course Enrolled: Wizardry
Student ID: 294 | Name: Daphne | Surname: Blake | Age: 21 | Course Enrolled: MysteryStudies
Student ID: 291 | Name: Lois | Surname: Griffin | Age: 38 | Course Enrolled: Sociology
Student ID: 375 | Name: Isabelle | Surname: Shizue | Age: 20 | Course Enrolled: TownPlanning
Student ID: 373 | Name: Rosalina | Surname: Galaxy | Age: 22 | Course Enrolled: Astrobiology
Student ID: 287 | Name: Cruella | Surname: DeVil | Age: 24 | Course Enrolled: FashionEthics
Student ID: 250 | Name: Mulan | Surname: Fa | Age: 23 | Course Enrolled: Sociology
Student ID: 374 | Name: Rosalina | Surname: Galaxy | Age: 22 | Course Enrolled: Physics
Student ID: 379 | Name: Princess | Surname: Daisy | Age: 21 | Course Enrolled: Herbology
Student ID: 322 | Name: Sailor | Surname: Venus | Age: 16 | Course Enrolled: Mythology
Student ID: 288 | Name: Tinker | Surname: Bell | Age: 18 | Course Enrolled: WingManagement
Student ID: 332 | Name: Princess | Surname: Bubblegum | Age: 18 | Course Enrolled: CandyEngineering
Student ID: 346 | Name: Wendy | Surname: Corduroy | Age: 17 | Course Enrolled: Woodshop
Student ID: 280 | Name: Megara | Surname: Herc | Age: 24 | Course Enrolled: ClassicalStudies
Student ID: 293 | Name: Daphne | Surname: Blake | Age: 21 | Course Enrolled: Journalism
Student ID: 279 | Name: Megara | Surname: Herc | Age: 24 | Course Enrolled: ClassicalStudies
Student ID: 295 | Name: Velma | Surname: Dinkley | Age: 22 | Course Enrolled: Criminology
Student ID: 307 | Name: Chun | Surname: Li | Age: 25 | Course Enrolled: MartialArts
Student ID: 292 | Name: Lois | Surname: Griffin | Age: 38 | Course Enrolled: ComedyWriting
Student ID: 267 | Name: Kim | Surname: Possible | Age: 18 | Course Enrolled: SpyStudies
Student ID: 335 | Name: Betty | Surname: Boop | Age: 23 | Course Enrolled: Comedy
Student ID: 369 | Name: Zelda | Surname: Hyrule | Age: 21 | Course Enrolled: Archaeology
Student ID: 301 | Name: Cosmo | Surname: Fairy | Age: 23 | Course Enrolled: ChaosTheory
Student ID: 386 | Name: D.Va | Surname: Hana | Age: 19 | Course Enrolled: GamingScience
Student ID: 336 | Name: Betty | Surname: Boop | Age: 23 | Course Enrolled: Entertainment
Student ID: 273 | Name: Pocahontas | Surname: Rivers | Age: 21 | Course Enrolled: EnvironmentalScience
Student ID: 319 | Name: Sailor | Surname: Jupiter | Age: 16 | Course Enrolled: Botany
Student ID: 368 | Name: Princess | Surname: Carolyn | Age: 35 | Course Enrolled: Communications
Student ID: 314 | Name: Ash | Surname: Ketchum | Age: 10 | Course Enrolled: Zoology
Student ID: 298 | Name: April | Surname: O'Neil | Age: 24 | Course Enrolled: Communications
Student ID: 338 | Name: Daisy | Surname: Duck | Age: 19 | Course Enrolled: BeakCare
Student ID: 274 | Name: Pocahontas | Surname: Rivers | Age: 21 | Course Enrolled: Anthropology
Student ID: 310 | Name: Misty | Surname: Waterflower | Age: 15 | Course Enrolled: MarineBiology
Student ID: 345 | Name: Wendy | Surname: Corduroy | Age: 17 | Course Enrolled: Woodshop
Student ID: 275 | Name: Alice | Surname: Wonderland | Age: 19 | Course Enrolled: Botany
Student ID: 373 | Name: Rosalina | Surname: Galaxy | Age: 22 | Course Enrolled: Astrobiology
Student ID: 361 | Name: Disgust | Surname: Green | Age: 11 | Course Enrolled: AttitudeStudies
Student ID: 399 | Name: Paine | Surname: Warrior | Age: 20 | Course Enrolled: Psychology
Student ID: 298 | Name: April | Surname: O'Neil | Age: 24 | Course Enrolled: Communications
Student ID: 332 | Name: Princess | Surname: Bubblegum | Age: 18 | Course Enrolled: Chemistry
Student ID: 310 | Name: Misty | Surname: Waterflower | Age: 15 | Course Enrolled: PokemonStudies
Student ID: 367 | Name: Princess | Surname: Carolyn | Age: 35 | Course Enrolled: FilmProduction
Student ID: 366 | Name: Nani | Surname: Pelekai | Age: 19 | Course Enrolled: Tourism
Student ID: 290 | Name: Tinker | Surname: Bell | Age: 18 | Course Enrolled: WingManagement
Student ID: 277 | Name: Jane | Surname: Tarzan | Age: 22 | Course Enrolled: Zoology
Student ID: 290 | Name: Tinker | Surname: Bell | Age: 18 | Course Enrolled: Engineering
Student ID: 309 | Name: Misty | Surname: Waterflower | Age: 15 | Course Enrolled: MarineBiology
Student ID: 300 | Name: Wanda | Surname: Fairy | Age: 22 | Course Enrolled: MagicStudies
Student ID: 323 | Name: Lady | Surname: Gaga | Age: 37 | Course Enrolled: FashionStudies
Student ID: 371 | Name: Peach | Surname: Toadstool | Age: 20 | Course Enrolled: MushroomStudies
Student ID: 312 | Name: Serena | Surname: Grace | Age: 14 | Course Enrolled: Fashion
Student ID: 323 | Name: Lady | Surname: Gaga | Age: 37 | Course Enrolled: ArtPopStudies
Student ID: 372 | Name: Peach | Surname: Toadstool | Age: 20 | Course Enrolled: Botany
